# push tiltY x 固定tiltX x 揮拍方向x過量修正 3軸校準掃描(return-studio.html, push 技術, forehand 側)

> 研究工具輸出，非 game4.html 正式驗收。只逐一計算每個組合的分數，不自動找最佳解。
Updated: 2026-07-13T05:05:33.397Z
Presets: 11（原始16顆，排除 5 顆：no_spin_long_forehand, no_spin_long_backhand, backspin_short_forehand_2, backspin_short_backhand_2, backspin_short_backhand）
sidebackspin_* presets tracked: 7

健檢（reimplementation vs. 未覆寫原始碼, tiltY=1, tiltXFixed=0, overcorrectScale=0）：PASS，逐 preset 完全一致

設計說明：tiltX 現在是固定候選值（不是 vx 的函式）；改成「揮拍方向 x 分量」
依 vx 做過量修正，公式基礎迴歸（game4.html 來源）：
clamp(-0.1436 - 0.5376*vx, -1.2, 1.2)，這裡整條乘上 overcorrectScale 縮放：
- overcorrectScale=0
- overcorrectScale=0.25
- overcorrectScale=0.5
- overcorrectScale=0.75
- overcorrectScale=1
- overcorrectScale=1.5

## Summary

tiltY | 換算角度 | tiltX(固定) | overcorrectScale | pass/total | sidebackspin pass | 失敗 preset
        "reason": "成功",
        "netClearance": 0.1756
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0105
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0295
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.2,
    "overcorrectScale": 0.5,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3446
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1714
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1501
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3099
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3755
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.2036
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1331
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.195
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.161
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0157
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0378
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.2,
    "overcorrectScale": 0.75,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3698
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1506
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.136
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3333
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4042
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1917
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1171
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1839
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1462
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.013
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0435
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.2,
    "overcorrectScale": 1,
    "okCount": 8,
    "total": 11,
    "sidebackspinOk": 5,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3884
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.136
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1237
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3486
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4251
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1807
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1057
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1735
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1332
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0105
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0305
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.2,
    "overcorrectScale": 1.5,
    "okCount": 8,
    "total": 11,
    "sidebackspinOk": 5,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4111
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1171
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1059
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3616
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.45
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1613
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0918
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1549
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1123
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0006
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0332
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.3,
    "overcorrectScale": 0,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.2828
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1842
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1583
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.2332
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.2917
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.2026
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1426
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1991
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1649
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.02
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0348
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.3,
    "overcorrectScale": 0.25,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3384
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1448
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1295
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.2957
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3556
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1842
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1081
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1789
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1407
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.021
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0491
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.3,
    "overcorrectScale": 0.5,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3874
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1095
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.106
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3473
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.412
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1666
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0797
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1624
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1179
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0174
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0602
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.3,
    "overcorrectScale": 0.75,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4267
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0809
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0857
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3838
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4563
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1524
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0586
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1467
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0941
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.014
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0682
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.3,
    "overcorrectScale": 1,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.456
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0608
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0688
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4079
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4889
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1367
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0424
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1319
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.076
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0108
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0736
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.3,
    "overcorrectScale": 1.5,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4919
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0343
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0447
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4286
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.5283
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1091
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0231
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1056
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.047
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0052
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0795
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.4,
    "overcorrectScale": 0,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.284
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1362
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1201
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.2279
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.2833
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1756
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0994
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1702
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1289
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0146
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.052
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.4,
    "overcorrectScale": 0.25,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.359
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0876
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0913
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3112
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3681
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1499
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0591
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1488
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.094
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0119
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0685
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.4,
    "overcorrectScale": 0.5,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.426
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0447
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0627
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.3812
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4439
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.128
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0265
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1281
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.067
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0099
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0819
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.4,
    "overcorrectScale": 0.75,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4804
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.012
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0355
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4318
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.5045
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1106
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0008
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.1083
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0422
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0083
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0918
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.4,
    "overcorrectScale": 1,
    "okCount": 7,
    "total": 11,
    "sidebackspinOk": 4,
    "sidebackspinTotal": 7,
    "rows": [
      {
        "preset": "backspin_long_backhand",
        "sidebackspin": false,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.5215
      },
      {
        "preset": "sidebackspin_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0012
      },
      {
        "preset": "sidebackspin_half_long_forehand",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0148
      },
      {
        "preset": "sidebackspin_half_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.4657
      },
      {
        "preset": "sidebackspin_long_backhand",
        "sidebackspin": true,
        "ok": false,
        "reason": "出界",
        "netClearance": 0.5497
      },
      {
        "preset": "sidebackspin_long_forehand_2",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0908
      },
      {
        "preset": "sidebackspin_long_forehand_3",
        "sidebackspin": true,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0054
      },
      {
        "preset": "backspin_long_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0897
      },
      {
        "preset": "backspin_long_forehand_2",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.0224
      },
      {
        "preset": "backspin_short_forehand",
        "sidebackspin": false,
        "ok": true,
        "reason": "成功",
        "netClearance": 0.007
      },
      {
        "preset": "sidebackspin_short_forehand",
        "sidebackspin": true,
        "ok": false,
        "reason": "掛網",
        "netClearance": -0.0989
      }
    ]
  },
  {
    "tiltY": 1.1,
    "angleDeg": 42.2737,
    "tiltXFixed": 0.4,
